"ID","ArchivoCopiado","UltimaCarpetaOrigen","RutaCompletaOrigen","RutaDestino","FechaModificacion","TamanoKB"
"0001","0001__actividad-01-selector-demo__SESSION_LOG.md","actividad-01-selector-demo","C:\2026\ipv-matchmaking\.worktrees\actividad-01-selector-demo\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0001__actividad-01-selector-demo__SESSION_LOG.md","06/04/2026 11:42:31 p. m.","39.32"
"0002","0002__actividad-02-normalizacion-logos-demo__SESSION_LOG.md","actividad-02-normalizacion-logos-demo","C:\2026\ipv-matchmaking\.worktrees\actividad-02-normalizacion-logos-demo\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0002__actividad-02-normalizacion-logos-demo__SESSION_LOG.md","06/04/2026 11:42:32 p. m.","39.94"
"0003","0003__actividad-03-mapeo-logos__SESSION_LOG.md","actividad-03-mapeo-logos","C:\2026\ipv-matchmaking\.worktrees\actividad-03-mapeo-logos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0003__actividad-03-mapeo-logos__SESSION_LOG.md","06/04/2026 11:42:32 p. m.","40.42"
"0004","0004__actividad-04-recursos-externos-evento__SESSION_LOG.md","actividad-04-recursos-externos-evento","C:\2026\ipv-matchmaking\.worktrees\actividad-04-recursos-externos-evento\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0004__actividad-04-recursos-externos-evento__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","40.99"
"0005","0005__actividad-05-ver-cuadro-competencia__SESSION_LOG.md","actividad-05-ver-cuadro-competencia","C:\2026\ipv-matchmaking\.worktrees\actividad-05-ver-cuadro-competencia\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0005__actividad-05-ver-cuadro-competencia__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","41.49"
"0006","0006__actividad-06-demo-pequeno-rapido__SESSION_LOG.md","actividad-06-demo-pequeno-rapido","C:\2026\ipv-matchmaking\.worktrees\actividad-06-demo-pequeno-rapido\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0006__actividad-06-demo-pequeno-rapido__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","42.1"
"0007","0007__actividad-07-podio-evento-categoria__SESSION_LOG.md","actividad-07-podio-evento-categoria","C:\2026\ipv-matchmaking\.worktrees\actividad-07-podio-evento-categoria\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0007__actividad-07-podio-evento-categoria__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","42.89"
"0008","0008__actividad-08-resumen-financiero-visible__SESSION_LOG.md","actividad-08-resumen-financiero-visible","C:\2026\ipv-matchmaking\.worktrees\actividad-08-resumen-financiero-visible\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0008__actividad-08-resumen-financiero-visible__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","43.43"
"0009","0009__actividad-09-persistencia-remota-financiera__SESSION_LOG.md","actividad-09-persistencia-remota-financiera","C:\2026\ipv-matchmaking\.worktrees\actividad-09-persistencia-remota-financiera\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0009__actividad-09-persistencia-remota-financiera__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","44.11"
"0010","0010__actividad-10-clasificacion-grupos__SESSION_LOG.md","actividad-10-clasificacion-grupos","C:\2026\ipv-matchmaking\.worktrees\actividad-10-clasificacion-grupos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0010__actividad-10-clasificacion-grupos__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","44.86"
"0011","0011__actividad-11-pre-registro__SESSION_LOG.md","actividad-11-pre-registro","C:\2026\ipv-matchmaking\.worktrees\actividad-11-pre-registro\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0011__actividad-11-pre-registro__SESSION_LOG.md","06/04/2026 11:42:35 p. m.","45.63"
"0012","0012__actividad-12-logos-con-preinscritos__SESSION_LOG.md","actividad-12-logos-con-preinscritos","C:\2026\ipv-matchmaking\.worktrees\actividad-12-logos-con-preinscritos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0012__actividad-12-logos-con-preinscritos__SESSION_LOG.md","06/04/2026 11:42:35 p. m.","46.39"
"0013","0013__actividad-13-modo-solo-lectura-desconectado__SESSION_LOG.md","actividad-13-modo-solo-lectura-desconectado","C:\2026\ipv-matchmaking\.worktrees\actividad-13-modo-solo-lectura-desconectado\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0013__actividad-13-modo-solo-lectura-desconectado__SESSION_LOG.md","06/04/2026 11:42:35 p. m.","46.95"
"0014","0014__actividad-14-capa-permisos__SESSION_LOG.md","actividad-14-capa-permisos","C:\2026\ipv-matchmaking\.worktrees\actividad-14-capa-permisos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0014__actividad-14-capa-permisos__SESSION_LOG.md","06/04/2026 11:42:36 p. m.","47.93"
"0015","0015__actividad-15-modo-agendar__SESSION_LOG.md","actividad-15-modo-agendar","C:\2026\ipv-matchmaking\.worktrees\actividad-15-modo-agendar\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0015__actividad-15-modo-agendar__SESSION_LOG.md","06/04/2026 11:42:36 p. m.","48.98"
"0016","0016__hub-sport-lsk-ultralight__SESSION_LOG.md","hub-sport-lsk-ultralight","C:\2026\ipv-matchmaking\.worktrees\hub-sport-lsk-ultralight\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0016__hub-sport-lsk-ultralight__SESSION_LOG.md","12/04/2026 10:35:53 a. m.","77.83"
"0017","0017__ipv-matchmaking__SESSION_LOG.md","ipv-matchmaking","C:\2026\ipv-matchmaking\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0017__ipv-matchmaking__SESSION_LOG.md","09/04/2026 01:14:16 p. m.","83.06"
"0018","0018__actividad-01-selector-demo__SESSION_LOG.md","actividad-01-selector-demo","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-01-selector-demo\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0018__actividad-01-selector-demo__SESSION_LOG.md","06/04/2026 11:42:31 p. m.","39.32"
"0019","0019__actividad-02-normalizacion-logos-demo__SESSION_LOG.md","actividad-02-normalizacion-logos-demo","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-02-normalizacion-logos-demo\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0019__actividad-02-normalizacion-logos-demo__SESSION_LOG.md","06/04/2026 11:42:32 p. m.","39.94"
"0020","0020__actividad-03-mapeo-logos__SESSION_LOG.md","actividad-03-mapeo-logos","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-03-mapeo-logos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0020__actividad-03-mapeo-logos__SESSION_LOG.md","06/04/2026 11:42:32 p. m.","40.42"
"0021","0021__actividad-04-recursos-externos-evento__SESSION_LOG.md","actividad-04-recursos-externos-evento","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-04-recursos-externos-evento\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0021__actividad-04-recursos-externos-evento__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","40.99"
"0022","0022__actividad-05-ver-cuadro-competencia__SESSION_LOG.md","actividad-05-ver-cuadro-competencia","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-05-ver-cuadro-competencia\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0022__actividad-05-ver-cuadro-competencia__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","41.49"
"0023","0023__actividad-06-demo-pequeno-rapido__SESSION_LOG.md","actividad-06-demo-pequeno-rapido","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-06-demo-pequeno-rapido\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0023__actividad-06-demo-pequeno-rapido__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","42.1"
"0024","0024__actividad-07-podio-evento-categoria__SESSION_LOG.md","actividad-07-podio-evento-categoria","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-07-podio-evento-categoria\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0024__actividad-07-podio-evento-categoria__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","42.89"
"0025","0025__actividad-08-resumen-financiero-visible__SESSION_LOG.md","actividad-08-resumen-financiero-visible","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-08-resumen-financiero-visible\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0025__actividad-08-resumen-financiero-visible__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","43.43"
"0026","0026__actividad-09-persistencia-remota-financiera__SESSION_LOG.md","actividad-09-persistencia-remota-financiera","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-09-persistencia-remota-financiera\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0026__actividad-09-persistencia-remota-financiera__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","44.11"
"0027","0027__actividad-10-clasificacion-grupos__SESSION_LOG.md","actividad-10-clasificacion-grupos","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-10-clasificacion-grupos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0027__actividad-10-clasificacion-grupos__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","44.86"
"0028","0028__actividad-11-pre-registro__SESSION_LOG.md","actividad-11-pre-registro","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-11-pre-registro\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0028__actividad-11-pre-registro__SESSION_LOG.md","06/04/2026 11:42:35 p. m.","45.63"
"0029","0029__actividad-12-logos-con-preinscritos__SESSION_LOG.md","actividad-12-logos-con-preinscritos","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-12-logos-con-preinscritos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0029__actividad-12-logos-con-preinscritos__SESSION_LOG.md","06/04/2026 11:42:35 p. m.","46.39"
"0030","0030__actividad-13-modo-solo-lectura-desconectado__SESSION_LOG.md","actividad-13-modo-solo-lectura-desconectado","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-13-modo-solo-lectura-desconectado\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0030__actividad-13-modo-solo-lectura-desconectado__SESSION_LOG.md","06/04/2026 11:42:35 p. m.","46.95"
"0031","0031__actividad-14-capa-permisos__SESSION_LOG.md","actividad-14-capa-permisos","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-14-capa-permisos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0031__actividad-14-capa-permisos__SESSION_LOG.md","06/04/2026 11:42:36 p. m.","47.93"
"0032","0032__actividad-15-modo-agendar__SESSION_LOG.md","actividad-15-modo-agendar","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\actividad-15-modo-agendar\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0032__actividad-15-modo-agendar__SESSION_LOG.md","06/04/2026 11:42:36 p. m.","48.98"
"0033","0033__hub-sport-lsk-ultralight__SESSION_LOG.md","hub-sport-lsk-ultralight","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\.worktrees\hub-sport-lsk-ultralight\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0033__hub-sport-lsk-ultralight__SESSION_LOG.md","12/04/2026 10:35:53 a. m.","77.83"
"0034","0034__ipv-matchmaking - copia 4__SESSION_LOG.md","ipv-matchmaking - copia 4","C:\2026\Otros_Respaldos\ipv-matchmaking - copia 4\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0034__ipv-matchmaking - copia 4__SESSION_LOG.md","09/04/2026 01:14:16 p. m.","83.06"
"0035","0035__ipv-matchmaking-backup__SESSION_LOG.md","ipv-matchmaking-backup","C:\2026\Otros_Respaldos\ipv-matchmaking-backup\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0035__ipv-matchmaking-backup__SESSION_LOG.md","04/04/2026 03:39:40 p. m.","9.19"
"0036","0036__ipv-matchmaking-backup_2__SESSION_LOG.md","ipv-matchmaking-backup_2","C:\2026\Otros_Respaldos\ipv-matchmaking-backup_2\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0036__ipv-matchmaking-backup_2__SESSION_LOG.md","05/04/2026 02:15:25 p. m.","32.93"
"0037","0037__ipv-matchmaking-backup_3__SESSION_LOG.md","ipv-matchmaking-backup_3","C:\2026\Otros_Respaldos\ipv-matchmaking-backup_3\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0037__ipv-matchmaking-backup_3__SESSION_LOG.md","06/04/2026 01:58:58 a. m.","37.79"
